Pi_(MPa),Pf_(MPa)
0,0.000001
0.090527924,0.045080772
0.11628719,0.08040297
0.168508416,0.123849725
0.295024965,0.209277686
0.454976811,0.332466217
0.630603428,0.481467746
0.851138458,0.665708981
1.108155871,0.885624422
1.421140288,1.151233774
1.783121696,1.46226549
1.917576555,1.667182717
2.075348425,1.821851246
2.305889339,1.990868744
2.539503679,2.167190747
2.787112903,2.359128771
3.192396485,2.648547684
3.607065396,2.996500506
4.048143994,3.390165613
4.488844352,3.806072561
5.136083754,4.339443445
5.892188496,4.985875293
6.643454673,5.684579974
6.875607616,6.140482249
